playerID,yearID,teamID,inseason,games,rank
mccorji01,1879,CL2,1,82,6
whitede01,1879,CN1,1,18,5
mcveyca01,1879,CN1,2,63,5
wrighge01,1879,PRO,1,85,1
dorgami01,1879,SR1,1,43,7
holbebi01,1879,SR1,2,1,7
maculji01,1879,SR1,3,27,7
phillho99,1879,TRN,1,47,8
fergubo01,1879,TRN,2,30,8
cranesa01,1880,BFN,1,84,7
wrighha01,1880,BSN,1,86,6
ansonca01,1880,CHN,1,86,1
mccorji01,1880,CL2,1,85,3
clappjo01,1880,CN1,1,82,8
mcgeami01,1880,PRO,1,16,2
wardjo01,1880,PRO,2,32,2
dorgami01,1880,PRO,3,39,2
fergubo01,1880,TRN,1,83,4
bancrfr99,1880,WOR,1,85,5
orourji01,1881,BFN,1,83,3
wrighha01,1881,BSN,1,83,6
ansonca01,1881,CHN,1,84,1
mcgeami01,1881,CL2,1,11,7
clappjo01,1881,CL2,2,74,7
bancrfr99,1881,DTN,1,84,4
farreja02,1881,PRO,1,51,2
yorkto01,1881,PRO,2,34,2
fergubo01,1881,TRN,1,85,5
dorgami01,1881,WOR,1,56,8
stoveha01,1881,WOR,2,27,8
myershe01,1882,BL2,1,74,6
snydepo01,1882,CN2,1,80,1
mackde01,1882,LS2,1,80,3
lathaju01,1882,PH4,1,75,2
prattal01,1882,PT1,1,79,4
cuthbne01,1882,SL4,1,80,5
orourji01,1882,BFN,1,84,3
morrijo01,1882,BSN,1,85,4
ansonca01,1882,CHN,1,84,1
mccorji01,1882,CL2,1,4,5
dunlafr01,1882,CL2,2,80,5
bancrfr99,1882,DTN,1,86,6
wrighha01,1882,PRO,1,84,2
fergubo01,1882,TRN,1,85,7
brownfr99,1882,WOR,1,41,8
bondto01,1882,WOR,2,6,8
chapmja01,1882,WOR,3,37,8
barnibi01,1883,BL2,1,96,8
phillho99,1883,CL5,1,97,6
snydepo01,1883,CN2,1,98,3
gerhajo01,1883,LS2,1,98,5
mutriji99,1883,NY4,1,97,4
knighlo01,1883,PH4,1,98,1
prattal01,1883,PT1,1,32,7
butleor99,1883,PT1,2,53,7
battijo01,1883,PT1,3,13,7
sullite01,1883,SL4,1,79,2
comisch01,1883,SL4,2,19,2
orourji01,1883,BFN,1,98,5
burdoja01,1883,BSN,1,54,1
morrijo01,1883,BSN,2,44,1
ansonca01,1883,CHN,1,98,2
bancrfr99,1883,CL2,1,100,4
chapmja01,1883,DTN,1,101,7
clappjo01,1883,NY1,1,98,6
fergubo01,1883,PHI,1,17,8
purcebl01,1883,PHI,2,82,8
wrighha01,1883,PRO,1,98,3
barnibi01,1884,BL2,1,109,6
tayloge99,1884,BR3,1,109,9
schmegu99,1884,CL5,1,110,2
whitewi01,1884,CN2,1,72,5
snydepo01,1884,CN2,2,40,5
giffoji99,1884,IN2,1,87,11
watkibi01,1884,IN2,2,23,11
walshmi99,1884,LS2,1,110,3
mutriji99,1884,NY4,1,112,1
knighlo01,1884,PH4,1,109,7
mcknide99,1884,PT1,1,12,10
fergubo01,1884,PT1,2,42,10
battijo01,1884,PT1,3,13,10
creamge01,1884,PT1,4,8,10
phillho99,1884,PT1,5,35,10
mosesfe99,1884,RIC,1,46,10
williji99,1884,SL4,1,85,4
comisch01,1884,SL4,2,25,4
mortoch01,1884,TL1,1,110,8
holliho01,1884,WS7,1,62,12
bicke99,1884,WS7,2,1,12
orourji01,1884,BFN,1,115,3
morrijo01,1884,BSN,1,116,2
ansonca01,1884,CHN,1,113,5
hackech99,1884,CL2,1,113,7
chapmja01,1884,DTN,1,114,8
priceji99,1884,NY1,1,100,4
wardjo01,1884,NY1,2,16,4
wrighha01,1884,PHI,1,113,6
bancrfr99,1884,PRO,1,114,1
curtied99,1884,ALT,1,25,10
hendebi99,1884,BLU,1,106,4
murnati01,1884,BSU,1,111,5
hengled99,1884,CHU,1,74,5
battijo01,1884,CHU,2,6,5
ellicjo01,1884,CHU,3,13,5
olearda01,1884,CNU,1,35,3
cranesa01,1884,CNU,2,70,3
wheelha01,1884,KCU,1,4,8
portema01,1884,KCU,2,16,8
sullite01,1884,KCU,3,62,8
loftuto01,1884,MLU,1,12,2
malonfe01,1884,PHU,1,67,8
sullite01,1884,SLU,1,31,1
dunlafr01,1884,SLU,2,83,1
thompam99,1884,SPU,1,9,9
simmojo01,1884,WIL,1,18,12
scanlmi99,1884,WSU,1,114,7
barnibi01,1885,BL2,1,110,8
hackech99,1885,BR3,1,37,5
byrnech99,1885,BR3,2,75,5
cayloop99,1885,CN2,1,112,2
hartji99,1885,LS2,1,112,6
giffoji99,1885,NY4,1,108,7
stoveha01,1885,PH4,1,113,4
phillho99,1885,PT1,1,111,3
comisch01,1885,SL4,1,112,1
galvipu01,1885,BFN,1,24,7
chapmja01,1885,BFN,2,88,7
morrijo01,1885,BSN,1,113,5
ansonca01,1885,CHN,1,113,1
mortoch01,1885,DTN,1,38,6
watkibi01,1885,DTN,2,70,6
mutriji99,1885,NY1,1,112,2
wrighha01,1885,PHI,1,111,3
bancrfr99,1885,PRO,1,110,4
dunlafr01,1885,SL5,1,50,8
mckinal01,1885,SL5,2,39,8
dunlafr01,1885,SL5,3,22,8
barnibi01,1886,BL2,1,139,8
byrnech99,1886,BR3,1,141,3
cayloop99,1886,CN2,1,141,5
hartji99,1886,LS2,1,138,4
giffoji99,1886,NY4,1,17,7
fergubo01,1886,NY4,2,120,7
simmole99,1886,PH4,1,98,6
